Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /Users/Jerry/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 15:08:56.364695: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 113 Default Step Loss 0.170319, Argument Step Loss 1.300568, Term: 0.986842, Prog: 0.618421, A0: 0.677419, A1: 0.790323, A2: 1.0
Epoch 01 Step 114 Default Step Loss 0.201220, Argument Step Loss 1.303124, Term: 0.988095, Prog: 0.642857, A0: 0.705882, A1: 0.720588, A2: 1.0
Epoch 01 Step 115 Default Step Loss 0.158586, Argument Step Loss 1.281008, Term: 0.986111, Prog: 0.625000, A0: 0.661017, A1: 0.728814, A2: 1.0
Epoch 01 Step 116 Default Step Loss 0.216805, Argument Step Loss 1.379521, Term: 0.986842, Prog: 0.657895, A0: 0.661290, A1: 0.758065, A2: 1.0
Epoch 01 Step 117 Default Step Loss 0.194408, Argument Step Loss 1.287028, Term: 0.987500, Prog: 0.650000, A0: 0.692308, A1: 0.769231, A2: 1.0
Epoch 01 Step 118 Default Step Loss 0.184617, Argument Step Loss 1.276172, Term: 0.986111, Prog: 0.625000, A0: 0.661017, A1: 0.745763, A2: 1.0
Epoch 01 Step 119 Default Step Loss 0.191671, Argument Step Loss 1.287610, Term: 0.986842, Prog: 0.644737, A0: 0.677419, A1: 0.790323, A2: 1.0
Epoch 01 Step 120 Default Step Loss 0.162165, Argument Step Loss 1.357837, Term: 0.986842, Prog: 0.644737, A0: 0.661290, A1: 0.806452, A2: 1.0
Epoch 01 Step 121 Default Step Loss 0.184133, Argument Step Loss 1.262487, Term: 0.986111, Prog: 0.652778, A0: 0.661017, A1: 0.779661, A2: 1.0
Epoch 01 Step 122 Default Step Loss 0.162654, Argument Step Loss 1.305359, Term: 0.986842, Prog: 0.644737, A0: 0.677419, A1: 0.774194, A2: 1.0
Epoch 01 Step 123 Default Step Loss 0.156082, Argument Step Loss 1.241940, Term: 0.986111, Prog: 0.638889, A0: 0.661017, A1: 0.830508, A2: 1.0
Epoch 01 Step 124 Default Step Loss 0.150521, Argument Step Loss 1.217573, Term: 0.986111, Prog: 0.680556, A0: 0.661017, A1: 0.847458, A2: 1.0
Epoch 01 Step 125 Default Step Loss 0.155193, Argument Step Loss 1.288039, Term: 0.986842, Prog: 0.644737, A0: 0.677419, A1: 0.758065, A2: 1.0
Epoch 01 Step 126 Default Step Loss 0.218656, Argument Step Loss 1.275888, Term: 0.988636, Prog: 0.659091, A0: 0.718310, A1: 0.788732, A2: 1.0
Epoch 01 Step 127 Default Step Loss 0.213747, Argument Step Loss 1.238073, Term: 0.987500, Prog: 0.650000, A0: 0.692308, A1: 0.815385, A2: 1.0
Epoch 01 Step 128 Default Step Loss 0.149816, Argument Step Loss 1.269960, Term: 0.986111, Prog: 0.625000, A0: 0.661017, A1: 0.779661, A2: 1.0
Epoch 01 Step 129 Default Step Loss 0.155728, Argument Step Loss 1.272321, Term: 0.987500, Prog: 0.662500, A0: 0.692308, A1: 0.784615, A2: 1.0
Epoch 01 Step 130 Default Step Loss 0.182510, Argument Step Loss 1.244776, Term: 0.986111, Prog: 0.652778, A0: 0.661017, A1: 0.796610, A2: 1.0
Epoch 01 Step 131 Default Step Loss 0.148992, Argument Step Loss 1.253903, Term: 0.986111, Prog: 0.666667, A0: 0.661017, A1: 0.779661, A2: 1.0
Epoch 01 Step 132 Default Step Loss 0.215211, Argument Step Loss 1.238208, Term: 0.986111, Prog: 0.652778, A0: 0.661017, A1: 0.830508, A2: 1.0
Epoch 01 Step 133 Default Step Loss 0.184492, Argument Step Loss 1.259937, Term: 0.988095, Prog: 0.666667, A0: 0.705882, A1: 0.779412, A2: 1.0
Epoch 01 Step 134 Default Step Loss 0.176763, Argument Step Loss 1.225346, Term: 0.985294, Prog: 0.632353, A0: 0.642857, A1: 0.821429, A2: 1.0
Epoch 01 Step 135 Default Step Loss 0.183410, Argument Step Loss 1.252978, Term: 0.988095, Prog: 0.666667, A0: 0.705882, A1: 0.794118, A2: 1.0
Epoch 01 Step 136 Default Step Loss 0.185328, Argument Step Loss 1.242909, Term: 0.989130, Prog: 0.663043, A0: 0.729730, A1: 0.770270, A2: 1.0
