Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 03:50:27.693340: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 207 Term Loss -0.172360, Default Loss -79.137581, Reward -13.000000
Epoch 01 Step 208 Term Loss -0.172035, Default Loss -79.137573, Reward -13.000000
Epoch 01 Step 209 Term Loss -0.172271, Default Loss -79.137543, Reward -13.000000
Epoch 01 Step 210 Term Loss -0.173015, Default Loss -79.137520, Reward -13.000000
Epoch 01 Step 211 Term Loss -0.172356, Default Loss -79.137505, Reward 0.900000
Epoch 01 Step 212 Term Loss -0.171805, Default Loss -79.137489, Reward 0.900000
Epoch 01 Step 213 Term Loss -0.171839, Default Loss -79.137466, Reward 0.900000
Epoch 01 Step 214 Term Loss -0.172394, Default Loss -79.137459, Reward 0.900000
Epoch 01 Step 215 Term Loss -0.173147, Default Loss -79.137451, Reward -13.000000
Epoch 01 Step 216 Term Loss -0.172755, Default Loss -79.137421, Reward -13.000000
Epoch 01 Step 217 Term Loss -0.172928, Default Loss -79.137405, Reward -13.000000
Epoch 01 Step 218 Term Loss -0.172953, Default Loss -79.137398, Reward 0.900000
Epoch 01 Step 219 Term Loss -0.172862, Default Loss -79.137375, Reward 0.900000
Epoch 01 Step 220 Term Loss -0.173261, Default Loss -79.137367, Reward -13.000000
Epoch 01 Step 221 Term Loss -0.173184, Default Loss -79.137360, Reward 0.900000
Epoch 01 Step 222 Term Loss -0.172972, Default Loss -79.137329, Reward -13.000000
Epoch 01 Step 223 Term Loss -0.173127, Default Loss -79.137306, Reward -13.000000
Epoch 01 Step 224 Term Loss -0.172771, Default Loss -79.137291, Reward 0.900000
Epoch 01 Step 225 Term Loss -0.172696, Default Loss -79.137283, Reward 0.900000
Epoch 01 Step 226 Term Loss -0.173161, Default Loss -79.137283, Reward 0.900000
Epoch 01 Step 227 Term Loss -0.172468, Default Loss -79.137299, Reward -13.000000
Epoch 01 Step 228 Term Loss -0.172146, Default Loss -79.137268, Reward -13.000000
Epoch 01 Step 229 Term Loss -0.172389, Default Loss -79.137215, Reward -13.000000
Epoch 01 Step 230 Term Loss -0.173137, Default Loss -79.137192, Reward -13.000000
Epoch 01 Step 231 Term Loss -0.172234, Default Loss -79.137199, Reward 0.900000
Epoch 01 Step 232 Term Loss -0.171682, Default Loss -79.137222, Reward 0.900000
Epoch 01 Step 233 Term Loss -0.171711, Default Loss -79.137260, Reward 0.900000
Epoch 01 Step 234 Term Loss -0.172260, Default Loss -79.137321, Reward 0.900000
